alphaTrajectory,adaptErrSeq,noAdaptErrorSeq,y_u_preds_inv,y_l_preds_inv,y_true_vals_inv,time
0.101,0.0,0.0,7624.036,805.3132,2043.98,600.2561509609222
0.102,0.0,0.0,7906.277,322.8054,756.41986,
0.103,0.0,0.0,8677.389,225.71408,707.56,
0.094,1.0,1.0,7287.885,179.28683,217.1799,
0.095,0.0,0.0,6388.149,335.6826,534.06,
0.096,0.0,0.0,3845.9849,183.61862,1709.28,
0.087,1.0,1.0,5218.2324,311.7651,6531.7397,
0.088,0.0,0.0,9380.803,201.55002,8553.47,
0.089,0.0,0.0,10211.672,509.75534,7489.55,
0.09,0.0,0.0,9567.066,813.90375,6465.61,
0.091,0.0,0.0,10099.455,632.9919,7796.9,
0.092,0.0,0.0,10747.657,670.2961,6072.56,
0.093,0.0,0.0,10891.397,716.64594,3256.84,
0.094,0.0,0.0,10286.859,1499.0497,1819.84,
0.095,0.0,0.0,8343.364,279.78,3741.33,
0.096,0.0,0.0,9744.949,332.37033,2954.56,
0.097,0.0,0.0,8950.548,593.6474,1852.88,
0.088,1.0,1.0,8558.578,510.70847,627.1799,
0.089,0.0,0.0,7286.882,312.26315,997.63995,
0.09,0.0,0.0,7008.615,360.88962,1396.49,
0.091,0.0,0.0,8120.843,224.66476,1201.33,
0.092,0.0,0.0,8439.993,163.16135,3633.08,
0.093,0.0,0.0,7899.0146,239.53464,463.31003,
0.094,0.0,0.0,6903.329,334.45456,1522.3701,
0.095,0.0,0.0,7721.702,356.5095,1093.1499,
0.086,1.0,1.0,7333.3594,337.94968,370.61008,
0.087,0.0,0.0,8172.722,368.99655,1071.68,
0.088,0.0,0.0,7077.048,236.55173,557.2199,
0.089,0.0,0.0,7265.787,321.47775,661.54,
0.09,0.0,0.0,6399.6123,314.09348,3235.08,
0.091,0.0,0.0,8521.496,90.785614,1048.06,
0.092,0.0,0.0,7040.9116,413.7368,1432.69,
0.093,0.0,0.0,6904.1646,376.15768,620.29,
0.084,1.0,1.0,7747.2476,208.25168,223.04001,
0.085,0.0,0.0,7821.53,203.61227,813.91986,
0.086,0.0,0.0,6348.562,-43.150665,3135.41,
0.077,1.0,1.0,7391.4946,184.41647,9168.87,
0.078,0.0,0.0,10309.758,1393.1232,9269.2,
0.079,0.0,0.0,9783.802,1390.9692,6191.4097,
0.07,1.0,1.0,10203.36,1480.5033,1212.9,
0.071,0.0,0.0,7172.6187,247.00436,2525.3,
0.072,0.0,0.0,9290.773,144.63547,1117.4501,
0.073,0.0,0.0,8367.353,229.83615,606.34,
0.074,0.0,0.0,8418.357,309.10446,474.09006,
0.075,0.0,0.0,8359.619,261.91794,1867.64,
0.076,0.0,0.0,8461.709,335.4316,2347.68,
0.077,0.0,0.0,7374.242,263.6926,4843.68,
0.078,0.0,0.0,9892.729,634.91205,3998.97,
0.079,0.0,0.0,9189.961,671.76263,4573.79,
0.07,1.0,1.0,9620.194,566.8991,446.31003,
0.071,0.0,0.0,6077.4214,331.84323,1453.5499,
0.072,0.0,0.0,7736.245,303.3762,1156.6101,
0.073,0.0,0.0,6933.2275,337.66794,1138.1,
0.074,0.0,0.0,6873.904,270.02145,287.35007,
0.075,0.0,0.0,5933.9565,317.65915,568.4399,
0.076,0.0,0.0,7570.892,249.48386,794.54,
0.077,0.0,0.0,7402.723,148.93283,931.51984,
0.078,0.0,0.0,7959.0576,274.30295,3880.2,
0.079,0.0,0.0,8966.421,-503.53445,844.9001,
0.08,0.0,0.0,7987.929,429.50217,633.77997,
0.081,0.0,0.0,8013.18,338.4597,2120.33,
0.082,0.0,0.0,11404.646,369.56882,1603.13,
0.083,0.0,0.0,6931.4834,270.82785,371.07004,
0.084,0.0,0.0,6717.217,351.34006,440.57004,
0.085,0.0,0.0,7537.6504,46.470184,274.81003,
0.086,0.0,0.0,6635.0684,186.52194,1072.4401,
0.087,0.0,0.0,5987.966,51.026825,641.63983,
0.088,0.0,0.0,7210.898,78.97775,296.53,
0.089,0.0,0.0,5452.288,160.65329,1083.25,
0.09,0.0,0.0,6460.385,276.95578,2815.18,
0.091,0.0,0.0,7625.5806,220.8967,3579.73,
0.092,0.0,0.0,8974.557,624.9157,1999.9299,
0.093,0.0,0.0,7601.828,427.01657,851.7399,
0.094,0.0,0.0,6470.4287,525.8088,814.13983,
0.095,0.0,0.0,7211.5312,337.58884,1956.85,
0.096,0.0,0.0,7438.623,378.53708,2396.97,
0.097,0.0,0.0,7562.809,445.01852,2790.7,
0.098,0.0,0.0,5514.485,483.93527,1813.59,
0.099,0.0,0.0,7995.8965,474.25778,2178.59,
0.1,0.0,0.0,7259.0513,440.45187,584.95013,
0.101,0.0,0.0,5391.37,251.69406,938.1401,
0.102,0.0,0.0,6292.226,391.06345,2008.55,
0.103,0.0,0.0,6508.0874,433.9565,4859.75,
0.104,0.0,0.0,9284.395,561.49554,2504.15,
0.105,0.0,0.0,7134.4062,482.36325,629.8598,
0.096,1.0,1.0,4765.975,388.32736,466.82004,
0.097,0.0,0.0,5246.64,317.1157,1628.93,
0.098,0.0,0.0,6471.63,232.49191,897.79,
0.099,0.0,0.0,6152.6836,205.52805,359.21994,
0.1,0.0,0.0,5747.636,198.05978,2359.16,
0.101,0.0,0.0,7987.1177,407.9316,2417.73,
0.102,0.0,0.0,7027.665,388.47092,4958.52,
0.103,0.0,0.0,8139.999,674.43353,2457.51,
0.094,1.0,1.0,6683.815,555.4748,310.37985,
0.095,0.0,0.0,5087.6987,217.70285,1351.2501,
0.096,0.0,0.0,7208.1084,330.791,1124.6901,
0.097,0.0,0.0,7241.778,335.49557,1337.0,
0.098,0.0,0.0,5350.139,358.52292,844.4799,
0.099,0.0,0.0,6146.9307,269.3027,483.9299,
0.1,0.0,0.0,2951.2659,424.1467,1294.1,
0.101,0.0,0.0,7329.162,2.7887876,1204.27,
0.102,0.0,0.0,6079.217,264.2617,2077.32,
0.103,0.0,0.0,7250.1465,478.2883,1077.4,
0.104,0.0,0.0,6052.521,348.17355,1272.08,
0.105,0.0,0.0,5963.4644,271.21555,1647.07,
0.106,0.0,0.0,6681.284,395.81906,2294.89,
0.107,0.0,0.0,7341.0054,455.23898,1563.04,
0.108,0.0,0.0,5549.239,375.21774,1928.29,
0.109,0.0,0.0,5826.3486,248.74557,1481.48,
0.11,0.0,0.0,6384.961,341.967,1664.86,
0.111,0.0,0.0,6194.9688,479.09836,703.60004,
0.112,0.0,0.0,4153.4863,286.81393,1763.67,
0.113,0.0,0.0,5073.6553,372.7595,3990.8,
0.114,0.0,0.0,8640.3125,530.8632,4397.07,
0.105,1.0,1.0,8003.832,1105.8347,196.86008,
0.106,0.0,0.0,4252.239,368.8442,1308.53,
0.107,0.0,0.0,6304.3184,344.9482,1426.1001,
0.108,0.0,0.0,7453.5674,496.55807,3795.81,
0.109,0.0,0.0,7868.009,326.62692,824.41986,
0.11,0.0,0.0,4177.4766,443.62082,1022.13995,
0.111,0.0,0.0,5051.794,446.27756,884.2199,
0.112,0.0,0.0,5363.86,301.63156,387.73996,
0.113,0.0,0.0,5099.147,335.69235,850.91986,
0.114,0.0,0.0,4090.3833,191.6511,1090.9102,
0.115,0.0,0.0,3402.446,-5.327423,234.53,
0.106,1.0,1.0,2065.9688,170.2153,105.37009,
0.097,1.0,1.0,6354.4775,204.02585,104.03,
0.098,0.0,0.0,4613.4653,-38.37552,542.4799,
0.099,0.0,0.0,3049.0225,130.75778,882.9399,
0.1,0.0,0.0,3431.4072,247.94211,578.83,
0.101,0.0,0.0,7057.6763,92.911835,380.34006,
0.102,0.0,0.0,3580.7666,81.61496,824.16986,
0.103,0.0,0.0,4989.8755,92.754364,650.83,
0.104,0.0,0.0,5573.9126,128.39548,2074.02,
0.105,0.0,0.0,6152.723,306.1716,1049.59,
0.106,0.0,0.0,4675.5356,211.7839,3471.46,
0.097,1.0,1.0,8629.763,445.3115,484.45993,
0.098,0.0,0.0,3759.9958,304.69186,319.49997,
0.099,0.0,0.0,2975.9138,257.176,450.03,
0.1,0.0,0.0,4246.3047,195.73752,845.7199,
0.101,0.0,0.0,5449.1772,166.05417,1105.76,
0.102,0.0,0.0,6508.856,41.42453,820.5998,
0.103,0.0,0.0,3683.298,249.98898,518.09,
0.104,0.0,0.0,4353.5874,332.73752,855.13995,
0.105,0.0,0.0,3736.4119,111.54538,1053.8301,
0.106,0.0,0.0,4236.411,264.30832,973.64996,
0.107,0.0,0.0,3198.2246,412.9736,205.3801,
0.108,0.0,0.0,3849.1133,59.036102,412.8701,
0.109,0.0,0.0,3622.9673,191.676,610.35004,
0.11,0.0,0.0,6234.292,146.88742,899.8199,
0.111,0.0,0.0,3002.0505,-37.977814,803.31,
0.112,0.0,0.0,3221.6926,168.4548,1005.94,
0.113,0.0,0.0,3285.8147,279.09592,466.84006,
0.114,0.0,0.0,5578.04,261.9338,459.05002,
0.115,0.0,0.0,3400.2544,213.30368,706.6899,
0.116,0.0,0.0,3256.6008,225.8215,1041.7999,
0.117,0.0,0.0,3647.8835,139.34787,1036.9,
0.118,0.0,0.0,3158.08,113.78732,527.89984,
0.119,0.0,0.0,2814.1113,205.33151,998.07,
0.12,0.0,0.0,2935.211,213.91208,1493.54,
0.121,0.0,0.0,5136.463,305.66306,2299.9,
0.122,0.0,0.0,4559.8057,327.4448,2666.85,
0.123,0.0,0.0,5560.959,424.88303,855.9499,
0.124,0.0,0.0,3015.5562,147.63205,1676.2201,
0.115,1.0,1.0,4211.8535,342.68015,7982.6104,
0.106,1.0,1.0,11065.709,903.8321,906.31,
0.107,0.0,0.0,5401.1997,668.3869,2280.78,
0.108,0.0,0.0,6707.104,606.0173,819.4399,
0.109,0.0,0.0,6203.2607,573.92255,1232.26,
0.11,0.0,0.0,6594.4766,377.1799,412.31003,
0.111,0.0,0.0,3415.4636,319.34787,311.05002,
0.102,1.0,1.0,3874.4646,184.57785,75.6799,
0.103,0.0,0.0,4767.018,46.645477,678.15985,
0.104,0.0,0.0,4458.8945,356.24924,1115.54,
0.105,0.0,0.0,3615.5872,206.6323,2060.67,
0.106,0.0,0.0,3570.105,169.32468,372.74997,
0.107,0.0,0.0,2889.4954,166.61227,488.45993,
0.108,0.0,0.0,4214.353,254.37985,106.700165,
0.109,0.0,0.0,4272.6685,242.85568,518.37006,
0.11,0.0,0.0,3442.9521,86.76706,345.58005,
0.111,0.0,0.0,2675.4429,76.74362,168.37009,
0.102,1.0,1.0,2730.2966,280.05905,189.70993,
0.103,0.0,0.0,4521.72,-5.403351,402.1799,
0.104,0.0,0.0,2333.9614,189.72653,1105.8,
0.105,0.0,0.0,2392.7876,54.56784,127.65988,
0.106,0.0,0.0,1665.0596,31.57077,405.29,
0.097,1.0,1.0,2724.264,-696.83136,2745.1,
0.098,0.0,0.0,5712.454,358.10226,3048.63,
0.099,0.0,0.0,8029.0425,127.80661,1032.87,
0.1,0.0,0.0,3300.5605,318.6467,496.9299,
0.091,1.0,1.0,4109.7197,332.37595,229.69992,
0.092,0.0,0.0,5039.5366,-60.702667,261.82004,
